Date,Total,All projects,English,Japanese,Spanish,German,Russian,French,Italian
2008/07/01,9548996331,5135131814,973755192,445589582,755196668,113662290,311381016
2008/08/01,9501001544,4974344046,969975425,529752195,778407514,121195082,312562951
2008/09/01,10631664082,5479533823,998032211,640332042,817672904,157256924,407994179
2008/10/01,11057926814,5669431390,1003057504,678356918,854000325,178147619,439236954
2008/11/01,10845469199,5415832055,925842966,618951709,1007854264,193302177,456433510
2008/12/01,10471563567,5043588824,867622536,429593165,1434267602,225726994,398506291
2009/01/01,11496646424,5615498275,1020040333,525897906,1270923077,244179932,489329700
2009/02/01,11679535575,5943558064,1015724496,664767977,981701403,261464142,489587152
2009/03/01,12024862006,6092089410,965824332,708812666,978324435,284750415,510839619
2009/04/01,11352618465,5988817321,935725490,622529405,816911070,275645537,513244212
2009/05/01,11825871880,6066080834,1054087578,712546000,875354334,285393526,517848086
2009/06/01,11511697846,5818924182,1076231552,689177935,908943732,287430317,478907393
2009/07/01,10765973194,5614497075,1071919060,568949734,818710227,249613491,402046348
2009/08/01,10938212064,5604048759,1056863842,670114201,812759742,263291318,405401461
2009/09/01,11878057823,5937922018,1036022366,805384131,888953956,305019697,468445343
2009/10/01,12257819646,6041279704,1042122587,793041104,884514330,336490934,517691251
2009/11/01,12008718951,5841504417,1018879252,750257494,903770333,350558815,517541264
2009/12/01,10626616883,5258610830,947765303,500123563,759783399,342298682,456708198
2010/01/01,11987314047,5883232992,1083201946,608651538,916028392,377526978,532464602
2010/02/01,12516731607,6227014896,1060245098,776934909,890617318,414429038,527713863
2010/03/01,12202523304,6446465754,979748084,740804448,809344045,358678986,493544465
2010/04/01,15032439078,8213623221,1152028494,953794373,957331874,438267171,550218307
2010/05/01,15224406890,8126959544,1276258833,999782289,986952926,467543830,573315069
2010/06/01,14593248123,7841269693,1260772500,939990212,955135652,456898699,536451155
2010/07/01,13895954055,7728611935,1275749319,762596690,901839447,386032551,482220859
2010/08/01,13761406201,7435888138,1222127187,872071201,936931491,408043313,510089112
2010/09/01,14528728329,7572220871,1200138702,1018472015,989808185,494069475,586890265
2010/10/01,14532380243,7526863400,1185314758,1020227911,973748712,525512847,598622500
2010/11/01,14938670039,7552720233,1192956965,1029077915,1062730731,569946243,657362614
2010/12/01,13948551158,7197323670,1104993076,748120629,965473265,587252199,619085980
2011/01/01,15494531219,7886321417,1230270379,870565050,1155753949,643666675,697123896
2011/02/01,15602269004,7905363844,1235772520,1017498578,1010369643,663129902,657610990
2011/03/01,15206260343,7532208472,1195941376,1071499890,1000548752,649943184,656422906
2011/04/01,14675654021,7345492982,1185126548,961460241,902105087,646546023,624116684
2011/05/01,15136658260,7313738255,1255860535,1074132146,1035675916,647533682,653114631
2011/06/01,14722782768,7129490662,1227660371,979439804,1009279530,626252967,626267778
2011/07/01,14140710180,6968286733,1247518154,858854640,959536382,568028951,593023383
2011/08/01,15061062231,7263497053,1321459774,1054094317,966935930,586031773,654016689
2011/09/01,15837395091,7483008091,1314236262,1195023458,988041057,667136987,682681634
2011/10/01,17102055358,7881085908,1322496602,1234884164,1028580510,740428763,745267659
2011/11/01,17422228372,8314617939,1321316510,1214871541,1079434677,789448080,760596481
2011/12/01,16365307876,7950128284,1253215909,899244274,1038191276,810251079,723308805
2012/01/01,18054256609,8576588259,1438625504,1035012747,1192489116,872056989,790998265
2012/02/01,18127913070,8782733975,1431170650,1211719057,1144831051,903756130,780606431
2012/03/01,17273498863,8168174170,1333339996,1187560765,1067371844,858648904,769176782
2012/04/01,17336954646,8387710959,1292741905,1105258369,1048780015,864363791,773087509
2012/05/01,18020960224,8620167603,1410908220,1254907230,1072648074,899248097,806491651
2012/06/01,18066024037,8675989210,1501801845,1227918217,1107375315,830865119,768239729
2012/07/01,17720800749,8778080687,1521317171,1108629589,1073868677,762226287,728345715
2012/08/01,18185903826,8870258331,1583046066,1291653170,1023852535,773053670,740917699
2012/09/01,19145309975,9165370101,1604478704,1403795210,1075123176,837174443,808082611
2012/10/01,19802955319,9385109925,1579708048,1504125450,1144640465,911910253,866387675
2012/11/01,20346464293,9588800410,1576198668,1454905152,1271195383,958921811,900979178
2012/12/01,20174312543,9702433634,1534332657,1259381765,1248579897,1056467782,885764813
2013/01/01,22255382963,10645425113,1727133637,1415248693,1353557034,1139441598,976279538
